 alpha_m, ax_racetraj_mps2, kappa_racetraj_radpm, psi_racetraj_rad, s_racetraj_m, vx_racetraj_mps, width_left_m, width_right_m, x_normvec_m, y_normvec_m, y_ref_m,delta_s,x_bound_l,x_bound_r,x_raceline,x_ref_m,y_bound_l,y_bound_r,y_raceline
-0.0285102,-8.6177,-0.0068316,-2.55249,347.261,21.7304,8.60003,3.12767,-0.818669,-0.574266,-323.991,3.01491,140.429,130.828,133.412,133.388,-319.053,-325.788,-323.975
0.0330251,-7.3357,-0.0111533,-2.57044,350.276,20.9224,8.7042,3.04953,-0.831444,-0.555608,-326.476,2.99524,142.333,132.56,135.068,135.096,-321.64,-328.17,-326.494
0.100666,-5.1962,-0.019004,-2.63088,353.271,19.585,8.83743,2.91731,-0.855095,-0.518471,-329.001,2.97056,144.267,134.216,136.625,136.711,-324.419,-330.513,-329.053
0.161735,-4.38659,-0.0228886,-2.67272,356.241,19.0471,9.03127,2.68168,-0.887284,-0.461224,-331.594,2.95257,146.188,135.796,138.031,138.175,-327.429,-332.831,-331.669
0.2,-2.50508,-0.0299848,-2.77812,359.194,18.1919,9.2053,2.38503,-0.924528,-0.381114,-334.283,2.95906,147.942,137.226,139.246,139.431,-330.774,-335.192,-334.359
0.2,-1.84541,-0.0342597,-2.84242,362.153,17.9145,9.47482,2.13311,-0.959283,-0.282448,-337.092,2.97803,149.512,138.377,140.231,140.423,-334.416,-337.694,-337.148
0.182777,-1.12565,-0.0394764,-2.99108,365.131,17.5562,9.76468,1.97084,-0.984444,-0.175699,-340.009,2.98431,150.724,139.171,140.931,141.111,-338.294,-340.355,-340.041
0.176826,-0.865287,-0.040743,-3.0712,368.115,17.4275,9.92453,1.90205,-0.998019,-0.0629064,-342.99,2.9793,151.376,139.573,141.295,141.471,-342.366,-343.11,-343.002
0.185329,-0.597901,-0.0432228,3.04362,371.095,17.2549,9.92008,1.87095,-0.998338,0.0576294,-345.99,2.9704,151.385,139.613,141.296,141.481,-346.561,-345.882,-345.979
0.2,-0.575677,-0.0436853,2.95677,374.065,17.1855,9.96419,1.86619,-0.982388,0.186854,-348.961,2.96982,150.906,139.284,140.921,141.118,-350.823,-348.612,-348.923
0.2,-0.432887,-0.0440079,2.78203,377.035,17.0367,10.0857,1.86338,-0.947767,0.318964,-351.858,2.97935,149.917,138.592,140.169,140.358,-355.075,-351.264,-351.794
0.183442,-0.382647,-0.0452905,2.6928,380.014,16.9858,10.1764,1.85417,-0.896509,0.443024,-354.633,2.98469,148.334,137.548,139.046,139.21,-359.141,-353.811,-354.552
0.173046,0,-0.0463418,2.50968,382.999,16.9116,10.1125,1.86273,-0.830703,0.556715,-357.234,2.97985,146.105,136.157,137.561,137.705,-362.864,-356.197,-357.138
0.179749,0,-0.0472022,2.41632,385.979,16.9116,9.95741,1.89144,-0.749874,0.66158,-359.611,2.96528,143.34,134.455,135.738,135.873,-366.199,-358.36,-359.493
0.2,0.89633,-0.0439128,2.23159,388.944,16.9415,9.83919,1.93313,-0.652414,0.757862,-361.713,2.94804,140.167,132.487,133.618,133.748,-369.17,-360.248,-361.562
0.2,2.12315,-0.0391494,2.14859,391.892,17.047,9.78753,1.97638,-0.537984,0.842955,-363.489,2.95253,136.627,130.299,131.254,131.362,-371.74,-361.823,-363.321
0.133663,2.03294,-0.0383397,2.07109,394.845,17.2943,9.78929,1.99926,-0.419681,0.907672,-364.912,2.98671,132.86,127.912,128.695,128.751,-373.797,-363.097,-364.79
0.026283,2.16013,-0.0359192,1.92274,397.831,17.7681,9.82869,2.02568,-0.311361,0.950292,-366.003,3.02454,129.025,125.334,125.957,125.965,-375.343,-364.078,-365.978
-0.0835314,2.25752,-0.0346623,1.85237,400.856,18.0095,9.77073,2.13307,-0.214619,0.976698,-366.794,3.04751,125.149,122.594,123.07,123.052,-376.337,-364.711,-366.876
-0.163571,2.76546,-0.0312692,1.72003,403.903,18.5282,9.47313,2.40329,-0.129755,0.991546,-367.314,3.04456,121.291,119.75,120.083,120.062,-376.707,-364.931,-367.476
-0.2,3.97075,-0.0258964,1.60579,406.948,19.1827,8.91303,2.88426,-0.0556382,0.998451,-367.592,3.01508,117.541,116.885,117.056,117.045,-376.492,-364.713,-367.792
-0.199412,4.7306,-0.0228456,1.5571,409.963,19.5922,8.2256,3.55138,0.0111338,0.999938,-367.658,2.98846,113.953,114.084,114.043,114.045,-375.883,-364.107,-367.858
-0.184427,4.9,-0.0186026,1.47458,412.952,20.5516,7.4919,4.32019,0.0726179,0.99736,-367.532,2.97431,110.527,111.385,111.058,111.071,-375.004,-363.223,-367.716
