 alpha_m, ax_racetraj_mps2, kappa_racetraj_radpm, psi_racetraj_rad, s_racetraj_m, vx_racetraj_mps, width_left_m, width_right_m, x_normvec_m, y_normvec_m, y_ref_m,delta_s,x_bound_l,x_bound_r,x_raceline,x_ref_m,y_bound_l,y_bound_r,y_raceline
-0.156716,5.26965,0.0051291,2.24678,337.072,31.4967,2.47079,2.77225,-0.669277,0.743013,94.8739,2.98929,59.1848,55.6758,57.636,57.5312,93.0381,96.9337,94.7575
0.0106684,5.25418,0.0053762,2.25726,340.061,31.8286,2.49236,2.59738,-0.678706,0.73441,92.8613,2.98877,57.0175,53.5631,55.3187,55.3259,91.0309,94.7689,92.8692
0.164802,5.22336,0.0058049,2.27959,343.05,32.4796,2.46394,2.4149,-0.686872,0.726778,90.8237,2.98655,54.8386,51.4875,53.033,53.1462,89.033,92.5788,90.9435
0.298342,-2.26992,0.0058917,2.29126,346.037,32.7988,2.38132,2.29219,-0.69381,0.720158,88.7653,2.98273,52.6418,49.3992,50.7826,50.9896,87.0504,90.416,88.9801
0.405314,-7.54293,0.0059685,2.31496,349.019,32.2028,2.2987,2.21765,-0.699574,0.71456,86.6903,2.97844,50.4617,47.3021,48.57,48.8536,85.0477,88.2749,86.9799
0.481131,-7.54156,0.0061557,2.32705,351.998,31.7321,2.23418,2.15349,-0.704669,0.709536,84.6019,2.97626,48.3101,45.2183,46.3967,46.7358,83.0167,86.1299,84.9433
0.522827,-7.74448,0.0062825,2.35198,354.974,30.7655,2.22725,2.0948,-0.709533,0.704673,82.5,2.97656,46.2143,43.1476,44.263,44.634,80.9305,83.9762,82.8684
0.529112,-8.0014,0.0061868,2.36442,357.951,30.2593,2.21679,2.01807,-0.714141,0.700002,80.3836,2.97938,44.129,41.1047,42.1681,42.5459,78.8319,81.7963,80.754
0.500418,-8.78882,0.0056733,2.38824,360.93,29.1612,2.20377,1.95042,-0.718493,0.695534,78.2518,2.98467,42.0528,39.068,40.1099,40.4694,76.719,79.6084,78.5999
0.439655,-9.42641,0.0051046,2.39899,363.915,28.5537,2.1731,1.94384,-0.722583,0.691284,76.1036,2.9923,39.9725,36.9977,38.0846,38.4022,74.6014,77.4474,76.4076
0.352857,-10.7795,0.00374,2.41671,366.907,27.1553,2.15477,1.92742,-0.726405,0.687267,73.9382,3.00211,37.9074,34.9421,36.0859,36.3422,72.4573,75.2628,74.1807
0.247455,-11.2324,0.0032777,2.4237,369.909,26.3516,2.10057,1.94876,-0.729967,0.683482,71.7545,3.0141,35.8204,32.8645,34.1064,34.287,70.3188,73.0865,71.9236
0.128008,-11.6547,0.0029627,2.43588,372.923,24.5702,2.0278,1.97228,-0.73323,0.679981,69.5517,3.02844,33.7214,30.7884,32.1407,32.2345,68.1728,70.8928,69.6388
-0.0051086,-11.1371,0.0029016,2.44173,375.952,23.6051,1.99097,2.00385,-0.736331,0.676621,67.3288,3.03924,31.6485,28.707,30.1863,30.1825,65.9817,68.6847,67.3254
-0.150012,-8.92186,0.0073153,2.45988,378.991,21.7562,2.03218,2.11259,-0.744833,0.667251,65.0824,3.02622,29.6525,26.5653,28.2506,28.1388,63.7265,66.4921,64.9823
-0.298318,-7.07433,0.0130588,2.50021,382.017,20.1453,2.1467,2.29696,-0.763734,0.645531,62.8001,2.98741,27.7867,24.3929,26.375,26.1472,61.4143,64.2829,62.6075
-0.438354,-6.25177,0.0164288,2.52948,385.005,19.4322,2.23244,2.58591,-0.792397,0.610006,60.4674,2.92871,26.0283,22.2102,24.6067,24.2593,59.1056,62.0448,60.2
-0.558223,-5.51162,0.0198709,2.56574,387.933,18.7795,2.25278,3.02234,-0.829758,0.558123,58.07,2.86009,24.396,20.019,22.99,22.5268,56.8126,59.7568,57.7584
-0.643042,-4.43039,0.0268267,2.65889,390.793,17.6413,2.20665,3.28339,-0.87354,0.486752,55.5934,2.79751,22.9289,18.1331,21.563,21.0013,54.5193,57.1915,55.2804
-0.672047,-3.96579,0.0299302,2.71562,393.591,17.133,2.12205,3.28903,-0.91958,0.392903,53.0232,2.76468,21.6859,16.71,20.3525,19.7345,52.1894,54.3154,52.7591
-0.621061,-2.91306,0.0367625,2.84759,396.356,16.2409,2.11899,2.9087,-0.961335,0.275381,50.345,2.79087,20.8152,15.9819,19.3752,18.7781,49.7615,51.146,50.174
-0.472876,-1.62512,0.0407405,2.92542,399.146,15.8791,2.22721,2.44178,-0.990591,0.136852,47.5445,2.90075,20.39,15.765,18.6522,18.1838,47.2397,47.8787,47.4798
-0.23729,-1.54806,0.0481539,3.10896,402.047,15.4664,2.22321,2.01363,-0.999897,-0.0143157,44.6072,3.07728,20.2261,15.9897,18.2404,18.0031,44.639,44.5784,44.6106
