alpha_m,ax_racetraj_mps2,delta_s,kappa_racetraj_radpm,psi_racetraj_rad,s_racetraj_m,vx_racetraj_mps,width_left_m,width_right_m,x_bound_l,x_bound_r,x_normvec_m,x_raceline,x_ref_m,y_bound_l,y_bound_r,y_normvec_m,y_raceline,y_ref_m
-0.164653,-13.2973,2.99756,-0.0001272,-2.21074,83.9018,37.3327,1.96457,9.47883,212.001,205.117,-0.601531,210.918,210.819,-179.333,-188.475,-0.798849,-180.771,-180.903
-0.179524,-13.2863,2.99805,-0.0001512,-2.21102,86.8993,36.6136,1.95301,9.4861,214.388,207.513,-0.601009,213.322,213.214,-181.144,-190.287,-0.799242,-182.561,-182.705
-0.190862,-13.2097,2.99861,-0.0001755,-2.21168,89.8974,35.1326,1.93129,9.50956,216.771,209.901,-0.600413,215.726,215.611,-182.962,-192.111,-0.79969,-184.353,-184.506
-0.19805,-13.1461,2.99934,-0.0002458,-2.2121,92.896,34.3725,1.9203,9.54195,219.162,212.288,-0.59966,218.129,218.01,-184.769,-193.941,-0.800255,-186.147,-186.305
-0.2,-12.6542,3.00022,-0.0003942,-2.21335,95.8953,32.8117,1.91601,9.57051,221.559,214.677,-0.599099,220.531,220.411,-186.569,-195.766,-0.800675,-187.943,-188.103
-0.198316,-12.0884,3.00053,-0.0008244,-2.21457,98.8956,32.0313,1.91172,9.57617,223.96,217.063,-0.600353,222.931,222.812,-188.373,-197.56,-0.799735,-189.743,-189.901
-0.196702,-10.8618,3.00003,-0.0022231,-2.22042,101.896,30.528,1.9264,9.56474,226.371,219.426,-0.604393,225.326,225.207,-190.173,-199.328,-0.796687,-191.551,-191.708
-0.195575,-10.3529,2.99897,-0.0029692,-2.22561,104.896,29.8081,1.9739,9.53324,228.795,221.763,-0.611057,227.708,227.589,-191.967,-201.076,-0.791586,-193.374,-193.529
-0.194905,-9.50049,2.99767,-0.0044606,-2.24047,107.895,28.4172,2.06032,9.47343,231.229,224.074,-0.620339,230.071,229.95,-193.758,-202.804,-0.784334,-195.221,-195.374
-0.194813,-9.15048,2.99653,-0.0051973,-2.25012,110.893,27.7406,2.19486,9.39302,233.673,226.348,-0.632161,232.409,232.286,-195.548,-204.526,-0.774837,-197.097,-197.248
-0.195539,-8.58113,2.99607,-0.0066709,-2.27385,113.889,26.4116,2.3875,9.25106,236.131,228.607,-0.646433,234.714,234.588,-197.34,-206.219,-0.762971,-199.012,-199.161
-0.197339,-8.30253,2.99694,-0.0074163,-2.28794,116.885,25.7537,2.62091,9.05652,238.587,230.845,-0.663027,236.98,236.849,-199.157,-207.899,-0.748595,-200.972,-201.119
-0.2,-7.32487,2.9998,-0.0091863,-2.32096,119.882,24.4547,2.92056,8.7838,241.055,233.076,-0.681774,239.201,239.064,-200.994,-209.557,-0.731563,-202.984,-203.131
-0.2,-6.37046,3.00524,-0.0108575,-2.341,122.882,23.8483,3.29578,8.41653,243.541,235.313,-0.702477,241.366,241.226,-202.857,-211.193,-0.711706,-205.06,-205.202
-0.183814,-4.86273,3.01191,-0.015804,-2.39369,125.887,22.8536,3.77264,7.96384,246.061,237.554,-0.724812,243.46,243.327,-204.743,-212.829,-0.688947,-207.216,-207.342
-0.132129,-4.56498,3.00959,-0.017177,-2.42664,128.899,22.4241,4.35215,7.42165,248.624,239.785,-0.750758,245.456,245.357,-206.683,-214.461,-0.660577,-209.471,-209.558
-0.0508078,-4.2221,2.99756,-0.0196251,-2.50038,131.909,21.6164,5.03534,6.77831,251.226,241.985,-0.7822,247.327,247.287,-208.722,-216.082,-0.623027,-211.828,-211.859
0.0426331,-4.0863,2.98148,-0.0206,-2.54061,134.906,21.2222,5.83047,6.06972,253.855,244.118,-0.818241,249.049,249.084,-210.904,-217.745,-0.574876,-214.28,-214.256
0.127409,-3.74245,2.96974,-0.0228469,-2.62735,137.888,20.4517,6.66802,5.28592,256.431,246.183,-0.857236,250.606,250.715,-213.324,-219.479,-0.514923,-216.823,-216.757
0.18372,-3.13277,2.97262,-0.0241941,-2.67442,140.858,20.0824,7.51717,4.47218,258.889,248.132,-0.897211,251.98,252.145,-216.054,-221.348,-0.441603,-219.455,-219.374
0.2,-1.65331,2.98176,-0.0296443,-2.78088,143.83,19.547,8.3373,3.68158,261.128,249.903,-0.933956,253.154,253.341,-219.133,-223.429,-0.357388,-222.185,-222.113
0.196496,-1.3057,2.98431,-0.0315515,-2.842,146.812,19.3771,9.05121,3.0009,263.001,251.388,-0.963564,254.09,254.28,-222.541,-225.765,-0.267476,-225.015,-224.962
0.193341,-0.789402,2.98107,-0.0339657,-2.97365,149.796,19.1304,9.51767,2.49164,264.317,252.488,-0.984998,254.751,254.942,-226.248,-228.32,-0.172567,-227.923,-227.89
0.195021,-0.526579,2.97576,-0.0350331,-3.04261,152.777,19.0477,9.74009,2.19341,265.025,253.122,-0.997425,255.115,255.31,-230.168,-231.024,-0.0717116,-230.881,-230.867
0.2,-0.293556,2.97423,-0.0367184,3.09678,155.753,18.9609,9.84563,2.01852,265.205,253.348,-0.999364,255.166,255.366,-234.213,-233.79,0.0356527,-233.855,-233.862
0.2,-0.198278,2.97999,-0.0368545,3.02323,158.727,18.9299,9.8963,1.89665,264.879,253.216,-0.989005,254.894,255.091,-238.308,-236.564,0.14788,-236.815,-236.845
0.190597,0,2.98497,-0.0377572,2.87425,161.707,18.9089,9.88964,1.85993,264.036,252.684,-0.96618,254.296,254.481,-242.332,-239.303,0.257869,-239.733,-239.782
0.185283,0.0499668,2.98421,-0.0376175,2.79895,164.692,18.9089,9.75019,1.95833,262.637,251.722,-0.932205,253.375,253.548,-246.167,-241.929,0.36193,-242.571,-242.638
0.189324,0.0675205,2.97709,-0.0375184,2.64864,167.677,18.9215,9.50794,2.19818,260.747,250.36,-0.887306,252.142,252.31,-249.759,-244.36,0.461181,-245.287,-245.374
0.2,0.22478,2.96538,-0.0370512,2.57413,170.654,18.9287,9.16249,2.56927,258.401,248.649,-0.831246,250.618,250.784,-253.047,-246.525,0.555904,-247.842,-247.953
0.2,1.71695,2.95971,-0.0324769,2.43418,173.619,19.0477,8.68502,3.04688,255.614,246.662,-0.763028,248.834,248.987,-255.952,-248.369,0.646365,-250.209,-250.339
0.155267,2.00242,2.97351,-0.0311015,2.37057,176.579,19.2271,8.12347,3.61885,252.522,244.45,-0.687406,246.831,246.938,-258.399,-249.871,0.726274,-252.387,-252.5
0.0718169,2.28051,2.99528,-0.029034,2.25072,179.552,19.6577,7.4797,4.29301,249.257,242.04,-0.613037,244.628,244.672,-260.348,-251.047,0.790054,-254.382,-254.439
-0.0261081,2.3317,3.01225,-0.0282352,2.1935,182.547,19.8883,6.7353,5.07082,245.885,239.474,-0.543,242.242,242.228,-261.825,-251.911,0.839732,-256.191,-256.169
-0.113577,2.64229,3.01573,-0.0261777,2.08444,185.56,20.3659,5.94199,5.90944,242.488,236.815,-0.47871,239.698,239.644,-262.92,-252.515,0.877973,-257.803,-257.703
-0.171942,2.96948,3.00463,-0.0247581,2.03356,188.575,20.6237,5.15372,6.70849,239.127,234.136,-0.420812,237.031,236.959,-263.728,-252.968,0.907148,-259.209,-259.053
-0.195551,4.32899,2.99566,-0.0203127,1.94289,191.58,21.2483,4.39768,7.41061,235.823,231.485,-0.367371,234.279,234.207,-264.323,-253.34,0.930075,-260.414,-260.232
-0.2,4.9,2.99292,-0.0182693,1.90431,194.576,21.6519,3.73897,8.03154,232.587,228.859,-0.316693,231.466,231.403,-264.799,-253.635,0.948528,-261.442,-261.253
-0.19965,4.9,2.99486,-0.0155399,1.83722,197.569,22.5387,3.21951,8.53953,229.418,226.251,-0.269298,228.604,228.551,-265.226,-253.902,0.963057,-262.318,-262.126
-0.199396,4.9,2.99973,-0.0145265,1.80716,200.564,22.9693,2.82721,8.94204,226.296,223.64,-0.225627,225.703,225.658,-265.618,-254.152,0.974214,-263.058,-262.864
-0.199668,4.9,3.00583,-0.0125717,1.753,203.563,23.8072,2.57882,9.21987,223.21,221.016,-0.185938,222.767,222.73,-266.012,-254.419,0.982561,-263.675,-263.478
-0.199955,4.88924,3.01164,-0.0115949,1.72884,206.569,24.2152,2.44675,9.36309,220.142,218.366,-0.150366,219.804,219.774,-266.4,-254.725,0.98863,-264.179,-263.981
-0.2,4.8496,3.01584,-0.0096285,1.68641,209.581,25.008,2.43084,9.39819,217.085,215.678,-0.118952,216.82,216.796,-266.799,-255.054,0.9929,-264.584,-264.385
-0.19998,4.83036,3.01732,-0.008686,1.6681,212.597,25.3928,2.51498,9.34089,214.033,212.946,-0.0916794,213.821,213.803,-267.206,-255.4,0.995789,-264.9,-264.701
-0.2,4.79295,3.01512,-0.00693,1.63699,215.614,26.1411,2.64454,9.21487,210.981,210.168,-0.0684829,210.813,210.8,-267.58,-255.748,0.997652,-265.141,-264.941
-0.199382,4.77474,3.00872,-0.0063348,1.62373,218.629,26.5051,2.82006,9.01843,207.933,207.348,-0.0493494,207.803,207.793,-267.934,-256.11,0.998782,-265.317,-265.118
-0.195204,4.73926,3.00142,-0.0049911,1.60101,221.638,27.2147,3.05446,8.78369,204.894,204.492,-0.0339429,204.797,204.79,-268.295,-256.463,0.999424,-265.437,-265.242
-0.186538,4.72196,2.99577,-0.0042307,1.59178,224.639,27.5607,3.35534,8.5219,201.865,201.608,-0.0216938,201.797,201.792,-268.679,-256.805,0.999765,-265.511,-265.325
-0.174349,4.68818,2.99157,-0.0027861,1.57779,227.635,28.2364,3.68459,8.22502,198.845,198.696,-0.0124653,198.801,198.799,-269.059,-257.151,0.999922,-265.55,-265.375
-0.159198,4.67168,2.98863,-0.0020814,1.57292,230.626,28.5664,4.02582,7.88853,195.834,195.759,-0.0063229,195.809,195.808,-269.428,-257.514,0.99998,-265.562,-265.402
-0.141315,4.6394,2.98687,-0.0006887,1.56739,233.615,29.212,4.39269,7.5195,192.835,192.796,-0.0032739,192.821,192.82,-269.809,-257.897,0.999995,-265.557,-265.416
-0.120731,4.62361,2.98627,2.1e-06,1.5667,236.602,29.5279,4.76289,7.12399,189.849,189.81,-0.0033302,189.834,189.834,-270.188,-258.301,0.999995,-265.546,-265.425
-0.0973816,4.59267,2.98689,0.0013861,1.56947,239.588,30.1465,5.12349,6.73496,186.88,186.803,-0.0064935,186.848,186.847,-270.562,-258.704,0.999979,-265.536,-265.439
-0.0712074,4.57752,2.9889,0.0020832,1.57294,242.575,30.4496,5.4771,6.34399,183.93,183.779,-0.01276,183.861,183.86,-270.944,-259.124,0.999919,-265.538,-265.467
-0.0422555,-9.33555,2.99253,0.0035017,1.5841,245.564,31.044,5.82799,5.92804,181,180.74,-0.0221154,180.872,180.871,-271.345,-259.592,0.999755,-265.561,-265.518
-0.0108082,-9.06622,2.99808,0.0042289,1.59183,248.557,30.4368,6.1647,5.48406,178.093,177.69,-0.0345419,177.88,177.88,-271.763,-260.122,0.999403,-265.613,-265.602
0.0224633,-8.11896,3.00413,0.0057456,1.61175,251.555,29.2544,6.49887,5.04758,175.209,174.632,-0.0499827,174.883,174.885,-272.219,-260.687,0.99875,-265.706,-265.728
