x_ref_m; y_ref_m; width_right_m; width_left_m; x_normvec_m; y_normvec_m; alpha_m; s_racetraj_m; psi_racetraj_rad; kappa_racetraj_radpm; vx_racetraj_mps; ax_racetraj_mps2
66.2808406; 15.6793937; 0.7776747; 1.2947636; 0.6782101; -0.7348681; -0.1388830; 151.7521439; -0.8408746; -0.0724518; 7.1389952; -0.2698894
66.9961240; 16.3089391; 0.8390451; 1.2021776; 0.6439319; -0.7650828; -0.1244366; 152.7113180; -0.8885491; -0.0636375; 7.1124832; 0.9778762
67.7644700; 16.9301664; 0.9509078; 1.0843796; 0.6146005; -0.7888385; -0.0922695; 153.7041329; -0.9582849; -0.0345896; 7.3267762; 1.2387661
68.5907312; 17.5533579; 1.0739570; 0.9468690; 0.5907572; -0.8068494; -0.0507531; 154.7420981; -0.9768041; -0.0184661; 7.4441843; -1.8162035
69.4797101; 18.1887877; 1.1378154; 0.9315846; 0.5738479; -0.8189619; -0.0152302; 155.8361272; -0.9814751; 0.0106585; 6.9725502; -4.5952274
70.4215701; 18.8443942; 1.2006727; 0.8498967; 0.5725325; -0.8198820; 0.0001033; 156.9838666; -0.9692939; 0.0239564; 6.4948670; -3.3200861
71.3715905; 19.5225493; 1.1820625; 0.8929375; 0.5927296; -0.8054015; -0.0107331; 158.1511306; -0.9087780; 0.0647208; 5.8039135; -1.9727877
72.2799657; 20.2248136; 1.1448580; 0.9301420; 0.6343397; -0.7730545; -0.0597646; 159.2987494; -0.7923491; 0.1011757; 5.3210508; -1.7509693
73.0968902; 20.9527478; 1.0815153; 0.9934847; 0.7007991; -0.7133587; -0.1434846; 160.3873697; -0.7151629; 0.1228693; 5.0854975; -1.8936662
73.7725583; 21.7079123; 0.9060033; 1.1432554; 0.7939740; -0.6079517; -0.2352539; 161.3784988; -0.5109115; 0.1681451; 4.5995890; -0.8596633
74.2571645; 22.4918679; 0.8443081; 1.2241599; 0.9072123; -0.4206730; -0.2885692; 162.2446808; -0.3871426; 0.2069847; 4.4668467; -0.3793331
